,MAKE,MODEL,MODEL_DESCRIPTION,VARIANT,YEAR,CC,HORSEPOWER,PRICE,TRANSMISSION,CURRENCY,TAX_RATE,PRICE_INCLUDE_TAX
0,DAIHATSU,CERIA,Ceria,KL Plus,2001,0.8,36,21000000.0,0,Rp,,21000000.0
1,DAIHATSU,CERIA,Ceria,KX,2001,0.8,36,21000000.0,0,Rp,,21000000.0
2,KIA,CARRENS I,Carrens I,1.8 6 Seater A/T,2000,1.8,110,25000000.0,Automatic Transmission,Rp,,25000000.0
3,KIA,CARRENS I,Carrens I,1.8 7 Seater A/T,2000,1.8,110,25000000.0,Automatic Transmission,Rp,,25000000.0
4,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2001,1.5,92,25000000.0,Automatic Transmission,Rp,,25000000.0
5,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2001,1.5,92,25000000.0,Manual Transmission,Rp,,25000000.0
6,DAIHATSU,CERIA,Ceria,KL,2001,0.8,36,27000000.0,0,Rp,,27000000.0
7,DAIHATSU,CERIA,Ceria,New KL,2003,0.8,36,27000000.0,0,Rp,,27000000.0
8,DAIHATSU,CERIA,Ceria,New KL Plus,2003,0.8,36,27000000.0,0,Rp,,27000000.0
9,DAIHATSU,CERIA,Ceria,KL Plus,2002,0.8,36,28000000.0,0,Rp,,28000000.0
10,HYUNDAI,ATOZ,Atoz,GLX 1.0 M/T,2000,1.0,54,30000000.0,Manual Transmission,Rp,,30000000.0
11,KIA,CARRENS I,Carrens I,1.8 6 Seater M/T,2000,1.8,110,30000000.0,Manual Transmission,Rp,,30000000.0
12,KIA,CARRENS I,Carrens I,1.8 6 Seater A/T,2001,1.8,110,30000000.0,Automatic Transmission,Rp,,30000000.0
13,KIA,CARRENS I,Carrens I,1.8 7 Seater A/T,2001,1.8,110,30000000.0,Automatic Transmission,Rp,,30000000.0
14,DAIHATSU,CERIA,Ceria,KL,2002,0.8,36,30000000.0,0,Rp,,30000000.0
15,DAIHATSU,CERIA,Ceria,KX,2002,0.8,36,30000000.0,0,Rp,,30000000.0
16,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2002,1.5,92,30000000.0,Automatic Transmission,Rp,,30000000.0
17,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2002,1.5,92,30000000.0,Manual Transmission,Rp,,30000000.0
18,CHEVROLET,BLAZER,Blazer,Montera,2003,2.3,138,30000000.0,0,Rp,,30000000.0
19,DAIHATSU,CERIA,Ceria,New KL,2004,0.8,36,30000000.0,0,Rp,,30000000.0
20,DAIHATSU,CERIA,Ceria,New KL Plus,2004,0.8,36,30000000.0,0,Rp,,30000000.0
21,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2003,1.5,92,325000000.0,Automatic Transmission,Rp,,325000000.0
22,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2003,1.5,92,325000000.0,Manual Transmission,Rp,,325000000.0
23,DAIHATSU,CERIA,Ceria,KX-R,2002,0.8,36,33000000.0,0,Rp,,33000000.0
24,DAIHATSU,CERIA,Ceria,KL,2003,0.8,36,33000000.0,0,Rp,,33000000.0
25,DAIHATSU,CERIA,Ceria,KX,2003,0.8,36,34000000.0,0,Rp,,34000000.0
26,DAIHATSU,CERIA,Ceria,New KX,2003,0.8,36,34000000.0,0,Rp,,34000000.0
27,DAIHATSU,CERIA,Ceria,New KL,2005,0.8,36,34000000.0,0,Rp,,34000000.0
28,HYUNDAI,ATOZ,Atoz,GLS 1.0 A/T,2000,1.0,54,35000000.0,Automatic Transmission,Rp,,35000000.0
29,HYUNDAI,ATOZ,Atoz,GLS 1.0 M/T,2000,1.0,54,35000000.0,Manual Transmission,Rp,,35000000.0
30,HYUNDAI,TRAJET,Trajet,GL 2.7 V6 SE,2000,2.7,179,35000000.0,0,Rp,,35000000.0
31,HYUNDAI,ATOZ,Atoz,GLX 1.0 M/T,2001,1.0,54,35000000.0,Manual Transmission,Rp,,35000000.0
32,KIA,CARRENS I,Carrens I,1.8 6 Seater M/T,2001,1.8,110,35000000.0,Manual Transmission,Rp,,35000000.0
33,HYUNDAI,MATRIX,Matrix,GL 1.6 M/T,2002,1.6,103,35000000.0,Manual Transmission,Rp,,35000000.0
34,KIA,CARRENS I,Carrens I,1.8 6 Seater A/T,2002,1.8,110,35000000.0,Automatic Transmission,Rp,,35000000.0
35,KIA,CARRENS I,Carrens I,1.8 7 Seater A/T,2002,1.8,110,35000000.0,Automatic Transmission,Rp,,35000000.0
36,CHEVROLET,AVEO,Aveo,A/T,2003,1.5,95,35000000.0,Automatic Transmission,Rp,,35000000.0
37,CHEVROLET,AVEO,Aveo,M/T,2003,1.5,105,35000000.0,Manual Transmission,Rp,,35000000.0
38,DAIHATSU,CERIA,Ceria,KL Plus,2003,0.8,36,35000000.0,0,Rp,,35000000.0
39,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2004,1.5,92,35000000.0,Automatic Transmission,Rp,,35000000.0
40,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2004,1.5,92,35000000.0,Manual Transmission,Rp,,35000000.0
41,PROTON,SAVVY,Savvy,A/T,2007,1.2,76,35000000.0,Automatic Transmission,Rp,,35000000.0
42,PROTON,SAVVY,Savvy,M/T,2007,1.2,76,35000000.0,Manual Transmission,Rp,,35000000.0
43,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2005,1.5,92,352000000.0,Manual Transmission,Rp,,352000000.0
44,DAIHATSU,CERIA,Ceria,KX-R,2003,0.8,36,36000000.0,0,Rp,,36000000.0
45,DAIHATSU,CERIA,Ceria,KX,2004,0.8,36,37000000.0,0,Rp,,37000000.0
46,DAIHATSU,CERIA,Ceria,New KX,2004,0.8,36,37000000.0,0,Rp,,37000000.0
47,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2005,1.5,92,375000000.0,Automatic Transmission,Rp,,375000000.0
48,BMW,5,528i,E39 Tiptronic,1996,2.8,193,40000000.0,Tiptronic,Rp,,40000000.0
49,DAIHATSU,TARUNA,Taruna,CX 1.6,2000,1.6,85,40000000.0,0,Rp,,40000000.0
50,HYUNDAI,TRAJET,Trajet,2.0 A/T,2000,2.0,136,40000000.0,Automatic Transmission,Rp,,40000000.0
51,HYUNDAI,TRAJET,Trajet,2.0 M/T,2000,2.0,136,40000000.0,Manual Transmission,Rp,,40000000.0
52,HYUNDAI,ATOZ,Atoz,GLS 1.0 A/T,2001,1.0,54,40000000.0,Automatic Transmission,Rp,,40000000.0
53,HYUNDAI,ATOZ,Atoz,GLS 1.0 M/T,2001,1.0,54,40000000.0,Manual Transmission,Rp,,40000000.0
54,HYUNDAI,SANTA FE,Santa Fe,2.4 L 4x2,2001,2.4,176,40000000.0,0,Rp,,40000000.0
55,HYUNDAI,TRAJET,Trajet,GL 2.7 V6 SE,2001,2.7,179,40000000.0,0,Rp,,40000000.0
56,HYUNDAI,ATOZ,Atoz,GLX 1.0 M/T,2002,1.0,54,40000000.0,Manual Transmission,Rp,,40000000.0
57,KIA,CARRENS I,Carrens I,1.8 6 Seater M/T,2002,1.8,110,40000000.0,Manual Transmission,Rp,,40000000.0
58,HYUNDAI,MATRIX,Matrix,GL 1.6 M/T,2003,1.6,103,40000000.0,Manual Transmission,Rp,,40000000.0
59,KIA,CARRENS I,Carrens I,1.8 6 Seater A/T,2003,1.8,110,40000000.0,Automatic Transmission,Rp,,40000000.0
60,KIA,CARRENS I,Carrens I,1.8 7 Seater A/T,2003,1.8,110,40000000.0,Automatic Transmission,Rp,,40000000.0
61,CHEVROLET,AVEO,Aveo,A/T,2004,1.5,95,40000000.0,Automatic Transmission,Rp,,40000000.0
62,CHEVROLET,AVEO,Aveo,M/T,2004,1.5,105,40000000.0,Manual Transmission,Rp,,40000000.0
63,CHEVROLET,BLAZER,Blazer,Montera,2004,2.3,138,40000000.0,0,Rp,,40000000.0
64,DAIHATSU,CERIA,Ceria,New KX,2005,0.8,36,40000000.0,0,Rp,,40000000.0
65,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS A/T,2006,1.5,92,40000000.0,Automatic Transmission,Rp,,40000000.0
66,HYUNDAI,ACCENT VERNA,Accent Verna,Verna 1.5 GLS M/T,2006,1.5,92,40000000.0,Manual Transmission,Rp,,40000000.0
67,KIA,TRAVELLO,Travello,Diesel M/T,2006,2.7,80,40000000.0,Manual Transmission,Rp,,40000000.0
68,HYUNDAI,AVEGA,Avega,GL 1.5 A/T,2007,1.5,105,40000000.0,Automatic Transmission,Rp,,40000000.0
69,HYUNDAI,AVEGA,Avega,GL 1.5 M/T,2007,1.5,105,40000000.0,Manual Transmission,Rp,,40000000.0
70,HYUNDAI,AVEGA,Avega,SG 1.5 A/T,2007,1.5,105,40000000.0,Automatic Transmission,Rp,,40000000.0
71,HYUNDAI,AVEGA,Avega,SG 1.5 M/T,2007,1.5,105,40000000.0,Manual Transmission,Rp,,40000000.0
72,PROTON,GEN 2,Gen 2,A/T,2007,1.6,110,40000000.0,Automatic Transmission,Rp,,40000000.0
73,PROTON,GEN 2,Gen 2,M/T,2007,1.6,110,40000000.0,Manual Transmission,Rp,,40000000.0
74,PROTON,SAVVY,Savvy,A/T,2008,1.2,76,40000000.0,Automatic Transmission,Rp,,40000000.0
75,PROTON,SAVVY,Savvy,M/T,2008,1.2,76,40000000.0,Manual Transmission,Rp,,40000000.0
76,HYUNDAI,AVEGA,Avega,XG 1.5 M/T,2009,1.5,105,40000000.0,Manual Transmission,Rp,,40000000.0
77,DAIHATSU,CERIA,Ceria,New KX,2006,0.8,36,43000000.0,0,Rp,,43000000.0
78,BMW,5,528i,E39 Tiptronic,1997,2.8,193,45000000.0,Tiptronic,Rp,,45000000.0
79,ISUZU,PANTHER,Panther 2.5,Royal,1997,2.5,86,45000000.0,0,Rp,,45000000.0
80,DAIHATSU,TARUNA,Taruna,CL 1.6,2000,1.6,94,45000000.0,0,Rp,,45000000.0
81,HYUNDAI,TRAJET,Trajet,2.0 A/T,2001,2.0,136,45000000.0,Automatic Transmission,Rp,,45000000.0
82,HYUNDAI,TRAJET,Trajet,2.0 M/T,2001,2.0,136,45000000.0,Manual Transmission,Rp,,45000000.0
83,HYUNDAI,ATOZ,Atoz,GLS 1.0 M/T,2002,1.0,54,45000000.0,Manual Transmission,Rp,,45000000.0
84,HYUNDAI,MATRIX,Matrix,A/T,2002,1.6,103,45000000.0,Automatic Transmission,Rp,,45000000.0
85,HYUNDAI,SANTA FE,Santa Fe,2.4 L 4x2,2002,2.4,176,45000000.0,0,Rp,,45000000.0
86,CHEVROLET,OPTRA,Optra,A/T,2003,1.8,104,45000000.0,Automatic Transmission,Rp,,45000000.0
87,CHEVROLET,OPTRA,Optra,M/T,2003,1.8,104,45000000.0,Manual Transmission,Rp,,45000000.0
88,HYUNDAI,ATOZ,Atoz,GLX 1.0 M/T,2003,1.0,54,45000000.0,Manual Transmission,Rp,,45000000.0
89,HYUNDAI,MATRIX,Matrix,GL 1.6 M/T,2004,1.6,103,45000000.0,Manual Transmission,Rp,,45000000.0
90,CHEVROLET,AVEO,Aveo,A/T,2005,1.5,95,45000000.0,Automatic Transmission,Rp,,45000000.0
91,CHEVROLET,AVEO,Aveo,M/T,2005,1.5,105,45000000.0,Manual Transmission,Rp,,45000000.0
92,CHEVROLET,AVEO,Aveo,Sporty A/T,2005,1.5,103,45000000.0,Automatic Transmission,Rp,,45000000.0
93,CHEVROLET,KALOS,Kalos,A/T,2006,1.5,94,45000000.0,Automatic Transmission,Rp,,45000000.0
94,CHEVROLET,KALOS,Kalos,M/T,2006,1.5,94,45000000.0,Manual Transmission,Rp,,45000000.0
95,CHEVROLET,KALOS,Kalos,A/T,2007,1.5,94,45000000.0,Automatic Transmission,Rp,,45000000.0
96,HYUNDAI,AVEGA,Avega,GL 1.5 A/T,2008,1.5,105,45000000.0,Automatic Transmission,Rp,,45000000.0
97,HYUNDAI,AVEGA,Avega,GL 1.5 M/T,2008,1.5,105,45000000.0,Manual Transmission,Rp,,45000000.0
98,HYUNDAI,AVEGA,Avega,SG 1.5 A/T,2008,1.5,105,45000000.0,Automatic Transmission,Rp,,45000000.0
99,PROTON,GEN 2,Gen 2,A/T,2008,1.6,110,45000000.0,Automatic Transmission,Rp,,45000000.0
100,PROTON,GEN 2,Gen 2,M/T,2008,1.6,110,45000000.0,Manual Transmission,Rp,,45000000.0
101,PROTON,SAGA,Saga,M–Line M/T,2008,1.3,94,45000000.0,Manual Transmission,Rp,,45000000.0
102,PROTON,SAGA,Saga,M–Line A/T,2009,1.3,94,45000000.0,Automatic Transmission,Rp,,45000000.0
103,PROTON,SAVVY,Savvy,A/T,2009,1.2,76,45000000.0,Automatic Transmission,Rp,,45000000.0
104,PROTON,SAVVY,Savvy,M/T,2009,1.2,76,45000000.0,Manual Transmission,Rp,,45000000.0
105,ISUZU,PANTHER,Panther 2.5,Grand Royal,1997,2.5,86,50000000.0,0,Rp,,50000000.0
106,ISUZU,PANTHER,Panther 2.5,Hi-Sporty,1997,2.5,86,50000000.0,0,Rp,,50000000.0
107,BMW,5,528i,E39 Tiptronic,1998,2.8,193,50000000.0,Tiptronic,Rp,,50000000.0
108,ISUZU,PANTHER,Panther 2.5,Royal,1998,2.5,86,50000000.0,0,Rp,,50000000.0
109,DAIHATSU,TARUNA,Taruna,CSR EFI 1.6,2000,1.6,89,50000000.0,0,Rp,,50000000.0
110,KIA,SPORTAGE,Sportage,Long /4WD 2.0,2000,2.0,181,50000000.0,0,Rp,,50000000.0
111,DAIHATSU,TARUNA,Taruna,CL 1.6,2001,1.6,94,50000000.0,0,Rp,,50000000.0
112,DAIHATSU,TARUNA,Taruna,CSX 1.6,2001,1.6,85,50000000.0,0,Rp,,50000000.0
113,DAIHATSU,TARUNA,Taruna,CX 1.6,2001,1.6,85,50000000.0,0,Rp,,50000000.0
114,TOYOTA,COROLLA ALTIS,Corolla Altis,J M/T,2001,1.8,149,50000000.0,Manual Transmission,Rp,,50000000.0
115,DAIHATSU,TARUNA,Taruna,FL 1.5 EFI,2002,1.5,85,50000000.0,0,Rp,,50000000.0
116,FORD,ESCAPE,Escape,4x2 2.0 XLT M/T,2002,2.0,127,50000000.0,Manual Transmission,Rp,,50000000.0
117,HYUNDAI,ATOZ,Atoz,GLS 1.0 A/T,2002,1.0,54,50000000.0,Automatic Transmission,Rp,,50000000.0
118,HYUNDAI,TRAJET,Trajet,2.0 A/T,2002,2.0,136,50000000.0,Automatic Transmission,Rp,,50000000.0
119,HYUNDAI,TRAJET,Trajet,2.0 M/T,2002,2.0,136,50000000.0,Manual Transmission,Rp,,50000000.0
120,KIA,PREGIO,Pregio,Diesel M/T,2002,2.7,78,50000000.0,Manual Transmission,Rp,,50000000.0
121,CHEVROLET,BLAZER,Blazer,DOHC,2003,2.3,193,50000000.0,0,Rp,,50000000.0
122,DAIHATSU,TARUNA,Taruna,CL 1.5 EFI,2003,1.5,85,50000000.0,0,Rp,,50000000.0
123,DAIHATSU,TARUNA,Taruna,CX 1.5 EFI,2003,1.5,85,50000000.0,0,Rp,,50000000.0
124,FORD,ESCAPE,Escape,3.0 4x2 V6,2003,3.0,201,50000000.0,0,Rp,,50000000.0
125,HYUNDAI,GETZ,Getz,A/T,2003,1.3,84,50000000.0,Automatic Transmission,Rp,,50000000.0
126,HYUNDAI,GETZ,Getz,M/T,2003,1.3,84,50000000.0,Manual Transmission,Rp,,50000000.0
127,HYUNDAI,MATRIX,Matrix,A/T,2003,1.6,103,50000000.0,Automatic Transmission,Rp,,50000000.0
128,HYUNDAI,SANTA FE,Santa Fe,2.4 L 4x2,2003,2.4,176,50000000.0,0,Rp,,50000000.0
129,CHEVROLET,OPTRA,Optra,A/T,2004,1.8,104,50000000.0,Automatic Transmission,Rp,,50000000.0
130,CHEVROLET,OPTRA,Optra,M/T,2004,1.8,104,50000000.0,Manual Transmission,Rp,,50000000.0
131,DAIHATSU,XENIA,Xenia,1.0 Mi,2004,1.0,62,50000000.0,0,Rp,,50000000.0
132,HYUNDAI,ATOZ,Atoz,GLX 1.0 M/T,2004,1.0,54,50000000.0,Manual Transmission,Rp,,50000000.0
133,HYUNDAI,TRAJET,Trajet,GL 8 A/T,2004,2.0,138,50000000.0,Automatic Transmission,Rp,,50000000.0
134,HYUNDAI,TRAJET,Trajet,GL 8 M/T,2004,2.0,138,50000000.0,Manual Transmission,Rp,,50000000.0
135,NISSAN,SERENA,Serena - C 24,CT,2004,2.0,145,50000000.0,0,Rp,,50000000.0
136,TOYOTA,AVANZA,Avanza,E M/T,2004,1.3,96,50000000.0,Manual Transmission,Rp,,50000000.0
137,CHEVROLET,BLAZER,Blazer,Montera,2005,2.3,138,50000000.0,0,Rp,,50000000.0
138,FORD,FOCUS,Focus,Sporty A/T,2005,2.0,180,50000000.0,Automatic Transmission,Rp,,50000000.0
139,HYUNDAI,MATRIX,Matrix,GL 1.6 M/T,2005,1.6,103,50000000.0,Manual Transmission,Rp,,50000000.0
140,HYUNDAI,TUCSON,Tucson,GLS A/T,2005,2.0,157,50000000.0,Automatic Transmission,Rp,,50000000.0
141,MAZDA,BT-50,B 2500/BT 50,4x4 M/T,2005,2.5,199,50000000.0,Manual Transmission,Rp,,50000000.0
142,MITSUBISHI,MAVEN,Maven,GLS,2005,1.5,86,50000000.0,0,Rp,,50000000.0
143,MITSUBISHI,MAVEN,Maven,GLX,2005,1.5,86,50000000.0,0,Rp,,50000000.0
144,CHEVROLET,AVEO,Aveo,A/T,2006,1.5,95,50000000.0,Automatic Transmission,Rp,,50000000.0
145,CHEVROLET,AVEO,Aveo,M/T,2006,1.5,105,50000000.0,Manual Transmission,Rp,,50000000.0
146,CHEVROLET,AVEO,Aveo,Sporty A/T,2006,1.5,103,50000000.0,Automatic Transmission,Rp,,50000000.0
147,CHEVROLET,ESTATE,Estate,1.6 LS M/T,2006,1.6,107,50000000.0,Manual Transmission,Rp,,50000000.0
148,DAIHATSU,XENIA,Xenia,1.0 Li VVT-I,2006,1.0,62,50000000.0,0,Rp,,50000000.0
149,KIA,PRIDE,Pride,1.4 A/T,2006,1.4,64,50000000.0,Automatic Transmission,Rp,,50000000.0
150,CHEVROLET,KALOS,Kalos,M/T,2007,1.5,94,50000000.0,Manual Transmission,Rp,,50000000.0
151,KIA,TRAVELLO,Travello,Diesel M/T,2007,2.7,80,50000000.0,Manual Transmission,Rp,,50000000.0
152,CHEVROLET,KALOS,Kalos,A/T,2008,1.5,94,50000000.0,Automatic Transmission,Rp,,50000000.0
153,DAIHATSU,GRAN MAX,Blind Van,Gran Max Blind Van,2008,1.3,-,50000000.0,0,Rp,,50000000.0
154,DAIHATSU,GRAN MAX,Gran Max,1.3 Blind Van,2008,1.3,88,50000000.0,0,Rp,,50000000.0
155,DAIHATSU,GRAN MAX,Gran Max,1.3 F,2008,1.3,88,50000000.0,0,Rp,,50000000.0
156,DAIHATSU,GRAN MAX,Gran Max,1.3 Pick Up,2008,1.3,88,50000000.0,0,Rp,,50000000.0
157,HYUNDAI,AVEGA,Avega,SG 1.5 M/T,2008,1.5,105,50000000.0,Manual Transmission,Rp,,50000000.0
158,HYUNDAI,AVEGA,Avega,XG 1.5 A/T,2008,1.5,105,50000000.0,Automatic Transmission,Rp,,50000000.0
159,PROTON,EXORA,Exora,H – Line A/T,2008,1.6,140,50000000.0,Automatic Transmission,Rp,,50000000.0
160,HYUNDAI,AVEGA,Avega,GL 1.5 A/T,2009,1.5,105,50000000.0,Automatic Transmission,Rp,,50000000.0
161,HYUNDAI,AVEGA,Avega,GL 1.5 M/T,2009,1.5,105,50000000.0,Manual Transmission,Rp,,50000000.0
162,HYUNDAI,AVEGA,Avega,SG 1.5 A/T,2009,1.5,105,50000000.0,Automatic Transmission,Rp,,50000000.0
163,HYUNDAI,AVEGA,Avega,XG 1.5 A/T,2009,1.5,105,50000000.0,Automatic Transmission,Rp,,50000000.0
164,PROTON,EXORA,Exora,M – Line A/T,2009,1.6,140,50000000.0,Automatic Transmission,Rp,,50000000.0
165,PROTON,EXORA,Exora,M – Line M/T,2009,1.6,140,50000000.0,Manual Transmission,Rp,,50000000.0
166,PROTON,GEN 2,Gen 2,A/T,2009,1.6,110,50000000.0,Automatic Transmission,Rp,,50000000.0
167,PROTON,GEN 2,Gen 2,M/T,2009,1.6,110,50000000.0,Manual Transmission,Rp,,50000000.0
168,PROTON,SAGA,Saga,M–Line M/T,2009,1.3,94,50000000.0,Manual Transmission,Rp,,50000000.0
169,PROTON,SAGA,Saga,M–Line A/T,2010,1.3,94,50000000.0,Automatic Transmission,Rp,,50000000.0
170,PROTON,SAVVY,Savvy,A/T,2010,1.2,76,50000000.0,Automatic Transmission,Rp,,50000000.0
171,PROTON,SAVVY,Savvy,M/T,2010,1.2,76,50000000.0,Manual Transmission,Rp,,50000000.0
172,SUZUKI,CARRY,Suzuki Carry Pick Up,Carry 1.5 Pick Up,2010,1.5,-,50000000.0,0,Rp,,50000000.0
173,TATA,VISTA,Vista,GZX M/T,2013,1.3,89,50000000.0,Manual Transmission,Rp,,50000000.0
174,ISUZU,PANTHER,Panther 2.5,Hi-Grade,1997,2.5,86,55000000.0,0,Rp,,55000000.0
175,ISUZU,PANTHER,Panther 2.5,Grand Royal,1998,2.5,86,55000000.0,0,Rp,,55000000.0
176,ISUZU,PANTHER,Panther 2.5,Hi-Sporty,1998,2.5,86,55000000.0,0,Rp,,55000000.0
177,BMW,5,528i,E39 Tiptronic,1999,2.8,193,55000000.0,Tiptronic,Rp,,55000000.0
178,ISUZU,PANTHER,Panther 2.5,Royal,1999,2.5,86,55000000.0,0,Rp,,55000000.0
179,DAIHATSU,TARUNA,Taruna,CSX 1.6,2000,1.6,85,55000000.0,0,Rp,,55000000.0
180,KIA,SPORTAGE,Sportage,Short /4WD 2.0,2000,2.0,181,55000000.0,0,Rp,,55000000.0
181,DAIHATSU,TARUNA,Taruna,CSR EFI 1.6,2001,1.6,89,55000000.0,0,Rp,,55000000.0
182,DAIHATSU,TARUNA,Taruna,FGX 1.6,2001,1.6,98,55000000.0,0,Rp,,55000000.0
183,KIA,SPORTAGE,Sportage,Long /4WD 2.0,2001,2.0,181,55000000.0,0,Rp,,55000000.0
184,DAIHATSU,TARUNA,Taruna,CL 1.6,2002,1.6,94,55000000.0,0,Rp,,55000000.0
185,DAIHATSU,TARUNA,Taruna,CX 1.6,2002,1.6,85,55000000.0,0,Rp,,55000000.0
186,HYUNDAI,TRAJET,Trajet,GL 2.7 V6 SE,2002,2.7,179,55000000.0,0,Rp,,55000000.0
187,TOYOTA,COROLLA ALTIS,Corolla Altis,J M/T,2002,1.8,149,55000000.0,Manual Transmission,Rp,,55000000.0
188,CHEVROLET,BLAZER,Blazer,DOHC LT,2003,2.3,190,55000000.0,0,Rp,,55000000.0
189,DAIHATSU,TARUNA,Taruna,FL 1.5 EFI,2003,1.5,85,55000000.0,0,Rp,,55000000.0
190,DAIHATSU,TARUNA,Taruna,FL 1.5 EFI Plus,2003,1.5,85,55000000.0,0,Rp,,55000000.0
191,FORD,ESCAPE,Escape,2.3 A/T,2003,2.0,145,55000000.0,Automatic Transmission,Rp,,55000000.0
192,FORD,ESCAPE,Escape,3.0 4x4 V6,2003,3.0,201,55000000.0,0,Rp,,55000000.0
193,FORD,ESCAPE,Escape,4x2 2.0 XLT M/T,2003,2.0,127,55000000.0,Manual Transmission,Rp,,55000000.0
194,HYUNDAI,ATOZ,Atoz,GLS 1.0 A/T,2003,1.0,54,55000000.0,Automatic Transmission,Rp,,55000000.0
195,HYUNDAI,ATOZ,Atoz,GLS 1.0 M/T,2003,1.0,54,55000000.0,Manual Transmission,Rp,,55000000.0
196,HYUNDAI,TRAJET,Trajet,2.0 A/T,2003,2.0,136,55000000.0,Automatic Transmission,Rp,,55000000.0
197,HYUNDAI,TRAJET,Trajet,2.0 M/T,2003,2.0,136,55000000.0,Manual Transmission,Rp,,55000000.0
198,KIA,PREGIO,Pregio,Diesel M/T,2003,2.7,78,55000000.0,Manual Transmission,Rp,,55000000.0
199,DAIHATSU,TARUNA,Taruna,CL 1.5 EFI,2004,1.5,85,55000000.0,0,Rp,,55000000.0
200,DAIHATSU,TARUNA,Taruna,CX 1.5 EFI,2004,1.5,85,55000000.0,0,Rp,,55000000.0
201,DAIHATSU,XENIA,Xenia,1.0 Li Deluxe,2004,1.0,62,55000000.0,0,Rp,,55000000.0
202,DAIHATSU,XENIA,Xenia,1.0 Li Plus,2004,1.0,62,55000000.0,0,Rp,,55000000.0
203,FORD,ESCAPE,Escape,3.0 4x2 V6,2004,3.0,201,55000000.0,0,Rp,,55000000.0
204,HYUNDAI,GETZ,Getz,A/T,2004,1.3,84,55000000.0,Automatic Transmission,Rp,,55000000.0
205,HYUNDAI,GETZ,Getz,M/T,2004,1.3,84,55000000.0,Manual Transmission,Rp,,55000000.0
206,HYUNDAI,MATRIX,Matrix,A/T,2004,1.6,103,55000000.0,Automatic Transmission,Rp,,55000000.0
207,CHEVROLET,OPTRA,Optra,A/T,2005,1.8,104,55000000.0,Automatic Transmission,Rp,,55000000.0
208,CHEVROLET,OPTRA,Optra,M/T,2005,1.8,104,55000000.0,Manual Transmission,Rp,,55000000.0
209,DAIHATSU,XENIA,Xenia,1.0 Mi,2005,1.0,62,55000000.0,0,Rp,,55000000.0
210,HYUNDAI,ATOZ,Atoz,GLX 1.0 M/T,2005,1.0,54,55000000.0,Manual Transmission,Rp,,55000000.0
211,HYUNDAI,TRAJET,Trajet,GL 8 A/T,2005,2.0,138,55000000.0,Automatic Transmission,Rp,,55000000.0
212,HYUNDAI,TRAJET,Trajet,GL 8 M/T,2005,2.0,138,55000000.0,Manual Transmission,Rp,,55000000.0
213,TOYOTA,AVANZA,Avanza,E M/T,2005,1.3,96,55000000.0,Manual Transmission,Rp,,55000000.0
214,CHEVROLET,ESTATE,Estate,1.6 LS A/T,2006,1.6,107,55000000.0,Automatic Transmission,Rp,,55000000.0
215,DAIHATSU,XENIA,Xenia,1.0 Mi Plus VVT-I,2006,1.0,62,55000000.0,0,Rp,,55000000.0
216,MITSUBISHI,MAVEN,Maven,GLS,2006,1.5,86,55000000.0,0,Rp,,55000000.0
217,MITSUBISHI,MAVEN,Maven,GLX,2006,1.5,86,55000000.0,0,Rp,,55000000.0
218,CHEVROLET,AVEO,Aveo,A/T,2007,1.5,95,55000000.0,Automatic Transmission,Rp,,55000000.0
219,CHEVROLET,AVEO,Aveo,M/T,2007,1.5,105,55000000.0,Manual Transmission,Rp,,55000000.0
220,DAIHATSU,XENIA,Xenia,1.0 Li VVT-I,2007,1.0,62,55000000.0,0,Rp,,55000000.0
221,KIA,PRIDE,Pride,1.4 A/T,2007,1.4,64,55000000.0,Automatic Transmission,Rp,,55000000.0
222,KIA,PRIDE,Pride,1.4 M/T,2007,1.4,64,55000000.0,Manual Transmission,Rp,,55000000.0
223,SUZUKI,APV,Suzuki APV,Suzuki GE M/T,2007,1.5,107,55000000.0,Manual Transmission,Rp,,55000000.0
224,CHEVROLET,KALOS,Kalos,M/T,2008,1.5,94,55000000.0,Manual Transmission,Rp,,55000000.0
225,DAIHATSU,GRAN MAX,Gran Max,1.3 D,2008,1.3,88,55000000.0,0,Rp,,55000000.0
226,DAIHATSU,GRAN MAX,Gran Max,1.5 D,2008,1.3,97,55000000.0,0,Rp,,55000000.0
227,DAIHATSU,GRAN MAX,Gran Max,1.5 F,2008,1.3,97,55000000.0,0,Rp,,55000000.0
228,CHEVROLET,KALOS,Kalos,A/T,2009,1.5,94,55000000.0,Automatic Transmission,Rp,,55000000.0
